Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00010	 0.00007	 0.00001	 0.00003	 0.01412	 0.00000	 0.00001		237.216403	-2110.898630
1001	 0.00003	 0.00006	 0.00001	 0.00003	 0.01311	 0.00000	 0.00000		230.111271	-2228.055480
2002	 0.00010	 0.00032	 0.00002	 0.00008	 0.01226	 0.00001	 0.00001		210.457432	-2134.695809
3003	 0.00018	 0.00013	 0.00004	 0.00018	 0.01276	 0.00000	 0.00002		211.866068	-2139.050344
4004	 0.00005	 0.00006	 0.00004	 0.00030	 0.01355	 0.00000	 0.00002		205.126093	-2173.501463
5005	 0.00008	 0.00016	 0.00006	 0.00026	 0.01374	 0.00000	 0.00002		199.078277	-2151.153363
6006	 0.00002	 0.00002	 0.00002	 0.00018	 0.01295	 0.00000	 0.00001		210.063478	-2179.834763
7007	 0.00001	 0.00001	 0.00002	 0.00015	 0.01246	 0.00000	 0.00001		231.161510	-2148.402305
8008	 0.00001	 0.00001	 0.00002	 0.00028	 0.01354	 0.00000	 0.00001		217.967781	-2193.136098
9009	 0.00003	 0.00009	 0.00009	 0.00041	 0.01468	 0.00000	 0.00004		202.537362	-2059.342179
10010	 0.00009	 0.00009	 0.00007	 0.00045	 0.01345	 0.00001	 0.00003		203.082005	-2160.884017
11011	 0.00009	 0.00010	 0.00003	 0.00013	 0.01354	 0.00000	 0.00001		218.483681	-2096.883313
12012	 0.00012	 0.00007	 0.00006	 0.00039	 0.01357	 0.00001	 0.00002		198.570472	-2264.271656
13013	 0.00013	 0.00013	 0.00003	 0.00006	 0.01305	 0.00001	 0.00001		222.783487	-2111.498439
14014	 0.00010	 0.00016	 0.00003	 0.00010	 0.01315	 0.00001	 0.00001		214.597126	-2111.675136
15015	 0.00021	 0.00019	 0.00006	 0.00010	 0.01409	 0.00001	 0.00002		205.878877	-2203.759959
16016	 0.00010	 0.00006	 0.00004	 0.00020	 0.01205	 0.00001	 0.00002		213.815085	-2219.132272
17017	 0.00012	 0.00037	 0.00004	 0.00013	 0.01489	 0.00001	 0.00002		206.777097	-2153.445060
18018	 0.00009	 0.00023	 0.00002	 0.00009	 0.01351	 0.00001	 0.00001		203.025441	-2151.842066
19019	 0.00003	 0.00006	 0.00001	 0.00007	 0.01232	 0.00000	 0.00000		212.317217	-2279.689664
20020	 0.00006	 0.00007	 0.00001	 0.00002	 0.01337	 0.00000	 0.00000		235.016884	-2194.294078
21021	 0.00008	 0.00009	 0.00002	 0.00004	 0.01391	 0.00001	 0.00001		218.176346	-2125.618237
22022	 0.00016	 0.00012	 0.00002	 0.00007	 0.01329	 0.00001	 0.00001		206.229251	-2232.146999
23023	 0.00002	 0.00002	 0.00000	 0.00001	 0.01374	 0.00000	 0.00000		254.622149	-2118.554956
24024	 0.00012	 0.00012	 0.00001	 0.00002	 0.01399	 0.00000	 0.00001		235.649161	-2089.551658
25025	 0.00018	 0.00054	 0.00004	 0.00008	 0.01349	 0.00001	 0.00002		214.791679	-2157.359970
26026	 0.00008	 0.00013	 0.00004	 0.00016	 0.01346	 0.00001	 0.00001		207.780782	-2239.335731
27027	 0.00011	 0.00018	 0.00003	 0.00013	 0.01343	 0.00001	 0.00002		211.411216	-2142.559727
28028	 0.00007	 0.00010	 0.00002	 0.00005	 0.01405	 0.00000	 0.00001		222.243031	-2176.557687
29029	 0.00007	 0.00005	 0.00001	 0.00009	 0.01172	 0.00000	 0.00001		219.114709	-2262.855595
30030	 0.00015	 0.00006	 0.00002	 0.00003	 0.01370	 0.00000	 0.00001		227.403753	-2129.773617
31031	 0.00007	 0.00009	 0.00001	 0.00002	 0.01180	 0.00000	 0.00000		242.156509	-2192.121688
32032	 0.00010	 0.00007	 0.00001	 0.00003	 0.01254	 0.00000	 0.00000		227.006840	-2144.353379
33033	 0.00005	 0.00007	 0.00001	 0.00005	 0.01260	 0.00000	 0.00000		219.741080	-2190.539961
34034	 0.00004	 0.00004	 0.00002	 0.00010	 0.01348	 0.00000	 0.00001		217.433489	-2172.549361
35035	 0.00008	 0.00013	 0.00003	 0.00011	 0.01307	 0.00001	 0.00001		212.866220	-2198.768667
36036	 0.00012	 0.00030	 0.00008	 0.00032	 0.01126	 0.00001	 0.00003		200.704725	-2254.123358
37037	 0.00011	 0.00013	 0.00009	 0.00033	 0.01315	 0.00001	 0.00004		205.468206	-2129.023895
38038	 0.00007	 0.00011	 0.00005	 0.00018	 0.01630	 0.00001	 0.00002		210.657514	-2082.020435
39039	 0.00011	 0.00034	 0.00010	 0.00042	 0.01263	 0.00001	 0.00004		196.199783	-2133.796439
40040	 0.00006	 0.00008	 0.00003	 0.00009	 0.01441	 0.00000	 0.00001		223.033171	-2101.653638
41041	 0.00014	 0.00015	 0.00008	 0.00026	 0.01388	 0.00001	 0.00003		205.143583	-2128.286514
42042	 0.00020	 0.00020	 0.00005	 0.00031	 0.01169	 0.00001	 0.00002		196.627762	-2235.636713
43043	 0.00007	 0.00009	 0.00003	 0.00012	 0.01362	 0.00000	 0.00001		217.026243	-2199.309144
44044	 0.00003	 0.00007	 0.00002	 0.00020	 0.01378	 0.00000	 0.00001		215.014761	-2098.805386
45045	 0.00009	 0.00008	 0.00005	 0.00027	 0.01337	 0.00001	 0.00002		205.646118	-2173.966154
