Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00015	 0.00016	 0.00024	 0.00040	 0.00974	 0.00001	 0.00005		197.043599	-1748.588472
1001	 0.00006	 0.00006	 0.00011	 0.00012	 0.00952	 0.00001	 0.00002		214.546017	-1772.296365
2002	 0.00008	 0.00009	 0.00004	 0.00002	 0.01028	 0.00001	 0.00001		234.861225	-1707.568329
3003	 0.00016	 0.00017	 0.00007	 0.00006	 0.01196	 0.00001	 0.00002		209.802727	-1675.628557
4004	 0.00006	 0.00009	 0.00009	 0.00015	 0.01022	 0.00001	 0.00002		216.815338	-1698.021951
5005	 0.00005	 0.00007	 0.00002	 0.00003	 0.01113	 0.00000	 0.00001		236.827985	-1716.529710
6006	 0.00002	 0.00004	 0.00003	 0.00005	 0.01116	 0.00000	 0.00001		231.548123	-1666.597620
7007	 0.00011	 0.00016	 0.00020	 0.00025	 0.01013	 0.00001	 0.00005		203.450511	-1742.592643
8008	 0.00009	 0.00012	 0.00019	 0.00031	 0.00984	 0.00001	 0.00004		196.258665	-1801.708310
9009	 0.00016	 0.00024	 0.00014	 0.00017	 0.01009	 0.00001	 0.00003		203.415140	-1733.103372
10010	 0.00035	 0.00020	 0.00015	 0.00014	 0.00964	 0.00002	 0.00004		202.970329	-1697.082776
11011	 0.00011	 0.00008	 0.00014	 0.00029	 0.01075	 0.00001	 0.00004		207.388283	-1732.801381
12012	 0.00006	 0.00004	 0.00009	 0.00009	 0.01095	 0.00000	 0.00002		224.385748	-1706.794262
13013	 0.00008	 0.00013	 0.00015	 0.00028	 0.00954	 0.00001	 0.00004		204.337036	-1775.082500
14014	 0.00017	 0.00015	 0.00024	 0.00044	 0.01109	 0.00001	 0.00006		193.726906	-1715.069035
15015	 0.00008	 0.00021	 0.00009	 0.00018	 0.01219	 0.00000	 0.00003		209.257737	-1662.132327
16016	 0.00006	 0.00003	 0.00007	 0.00008	 0.00932	 0.00000	 0.00002		228.502243	-1722.277838
17017	 0.00003	 0.00004	 0.00007	 0.00013	 0.01049	 0.00000	 0.00002		221.377825	-1676.535209
18018	 0.00002	 0.00002	 0.00006	 0.00013	 0.00907	 0.00000	 0.00002		230.994735	-1749.177745
19019	 0.00004	 0.00005	 0.00010	 0.00021	 0.00950	 0.00000	 0.00002		213.516830	-1764.331155
20020	 0.00009	 0.00011	 0.00014	 0.00020	 0.00984	 0.00000	 0.00003		206.389456	-1752.420099
21021	 0.00005	 0.00003	 0.00010	 0.00017	 0.01114	 0.00000	 0.00002		212.944095	-1747.139129
22022	 0.00003	 0.00005	 0.00008	 0.00012	 0.01147	 0.00000	 0.00002		217.518855	-1687.871103
23023	 0.00006	 0.00002	 0.00006	 0.00011	 0.01031	 0.00000	 0.00001		219.765464	-1756.016709
24024	 0.00007	 0.00005	 0.00007	 0.00012	 0.01019	 0.00000	 0.00001		215.086359	-1797.298288
